118 LIMITED,AFX
TERRENCE HIGGINS TRUST HQ,AVT
TETBURY HOSPITAL TRUST LTD,AAH
TFHC LIMITED,AY0
THAMES MEDICAL,NP1
THAMES MEDICAL LLP,NP3
THAMES VALLEY AMBULANCE AND PARAMEDIC SERVICE,ADE
THAMES VALLEY VASECTOMY SERVICES LTD,AQ6
THE ABERDEEN CLINIC,DDK
THE ASHGROVE CLINIC,NFW
THE BACK PAIN TEAM LTD,NN7
THE BARIATRIC CONSULTANCY LTD,NBK
THE BIG LIFE GROUP LTD,AN0
THE BIRMINGHAM PROSTATE CLINIC LTD,AWV
THE BRANDON CENTRE,DGT
THE BRITISH SCHOOL OF OSTEOPATHY,NIO
THE CAMBRIDGE CENTRE (SCARBOROUGH ALCOHOL AND DRUGS ADVISORY CENTRE) LTD,AGN
THE CATARACT CENTRE LTD,DFR
THE CHARLOTTE STRAKER HOSPITAL PROJECT TRUST,NMT
THE CHASELEY TRUST,NWQ
THE CLATTERBRIDGE CLINIC LLP,AQF
THE COLLEGE OF ST BARNABAS,AQJ
THE COLTE PARTNERSHIP,DHT
THE COUNSELLING FOUNDATION,NGR
THE DORSET SKIN CLINIC,DGK
THE EARLSFIELD PRACTICE (HQ),AN9
THE ELLENOR LIONS HOSPICES,NXF
THE ELMS MEDICAL PRACTICE,NW5
THE EYE ACADEMY (RICHMOND) LTD,AR8
THE FERTILITY PARTNERSHIP- OXFORD,NPD
THE FORGE CLINIC,NJT
THE FORWARD TRUST,DG3
THE GRANGE MEDICAL CENTRE HQ,AJ8
THE GREAT NORTH AIR AMBULANCE SERVICE HQ,AYJ
THE GREEN HOUSE,AKP
THE GYNAECOLOGY PARTNERSHIP LTD.,NW4
THE HAMLET,DFF
THE HELPING HAND COMPANY,NBB
THE HERNE BAY OPTHALMOLOGY CLINIC,AC2
THE HUNTERCOMBE GROUP,NV2
THE INDUSTRIAL DIAGNOSTICS COMPANY [HQ],NPF
THE INTEGRATED CARE CLINICS LTD,NL5
THE KALEIDOSCOPE PLUS GROUP,AMD
THE LEARNING ASSESSMENT & NEUROCARE CENTRE,NVK
THE LEGER CLINIC,DF2
THE LEWISHAM CARE PARTNERSHIP,DJ6
THE LINCOLN PHYSIOTHERAPY & SPORTS INJURIES CLINIC,NKV
THE LIVING CARE GROUP,NID
THE MAGDALENE PROJECT,DA3
"THE MEDICAL (TEMPLE QUAY, BRISTOL)",DC6
THE MEWS PRACTICE,ATA
THE MOLE CLINIC LTD,NLP
THE NEW VICTORIA HOSPITAL LIMITED,AX0
THE NEWHALL MEDICAL PRACTICE LIMITED,AW8
THE OAKTREE CLINIC,AKD
THE ONE HEALTH GROUP LTD,NTX
THE ONE STOP PSYCHOTHERAPY SHOP LTD,DCW
THE OUTSIDE CLINIC,NFC
THE OZASE CLINIC,AY6
THE PHYSIOTHERAPY CENTRE HQ,NFF
THE PHYSIOTHERAPY PRACTICE LTD,NGA
THE PINNACLE PRACTICE,NGQ
THE POINT OSTEOPATHIC CLINIC,NEK
THE PRACTICE,NX1
THE PRACTICE PLC,NW1
THE PRIMARY CARE COLLABORATIVE LTD,NV4
THE PRIVATE CLINIC HARLEY STREET LIMITED,DDE
THE RETREAT HOSPITAL,NPE
THE RIDGE MEDICAL CENTRE,DHX
THE RIDGEWAY PRACTICE LIMITED,DJR
THE ROYAL BUCKINGHAMSHIRE HOSPITAL LTD,DJH
THE ROYAL HOSPITAL FOR NEURO-DISABILITY,NN1
THE SALISBURY PRACTICE LTD,DHM
THE SARA LEE TRUST,DGH
THE SEAN BARKES CLINIC LTD,NIU
THE SHERWOOD CLINIC LIMITED,DE9
THE SOCIETY OF ST JAMES,DEC
THE SOUTH WEST LONDON ELECTIVE ORTHOPAEDIC CENTRE,AX3
THE SUSSEX BEACON,AE8
THE VILLAGE PRACTICE,ARY
THE VILLAGE SURGERY,NEE
THE WATERSIDE PHYSIOTHERAPY AND OSTEOPATHY CLINIC,AP3
THE WELLBEING SERVICE CIC,NN0
THE WISH CENTRE LIMITED,DF8
THE YORKSHIRE NO-SCAPEL VASECTOMY SERVICE,AV4
THE YOUTH ENQUIRY SERVICE (PLYMOUTH) LTD,NKD
THERAPEUTIC RESOURCES & COUNSELLING SERVICES LTD,ALF
THINKACTION MENTAL HEALTH SERVICE (FORMERLY KNOWN AS KCA),NAG
THIS IS MY: LIMITED,NNU
THOMPSON OPTICIANS LTD,ACQ
THORPES PHYSIOTHERAPY LIMITED,NII
THRIVE PARTNERSHIP LLP,ATD
THURLEIGH ROAD PRACTICE,AQQ
TIM HUMPHRIES PHYSIOTHERAPY LTD,NGO
TIM PARKER PHYSIOTHERAPY,DHF
TLC MEDICAL CENTRE LLP,NGK
TOGETHER FIRST LTD,AW1
TOLLGATE CLINIC LTD,NQX
TOTAL HEALTH CARE CLINICS LTD,NBD
TOTAL HEALTH ETHOS LIMITED,DC7
TOTAL PHYSIOTHERAPY LTD,AKX
TOTALLY HEALTH HQ,DAP
TOUCHSTONE LEEDS,AVR
TOWER HAMLETS GP CARE GROUP CIC,AXA
TOWNSEND HOUSE ENT SERVICES,ARK
TRAVEL KLINIX,DER
TRENT PTS,NLS
TRI LOCALITY CARE LTD,ANM
TRINITY CARE WAKEFIELD,AVK
TRINITY MEDICAL IMAGING,DEM
TRU LTD,NLH
TRUST PRIMARY CARE LTD,APH
TULIP MENTAL HEALTH GROUP,NYJ
TURNING POINT,NKI
TURNPIKE MEDICAL LTD,NBO
TWO HARBOURS HEALTHCARE LTD,AWL
TYNE AND WEAR SURGERY LTD,NTR
TYNEHEALTH LTD,AQA
TYNESIDE AND NORTHUMBERLAND MIND,DDP
TYNESIDE SURGICAL SERVICES LTD,NN4
UCLAN DENTAL CLINIC,NJO
UK ENDOSCOPY GROUP LTD,DHW
ULTRASOUND NOW LTD,NDB
ULTRASOUND SCANNING SERVICES LTD,NHU
UNIQUE CARE NETWORK LIMITED,VTK
UNITED HEALTH UK,NAE
UNITED OPEN MRI LTD,DFX
UNITINGCARE PARTNERSHIP LLP,ALJ
UNIVERSITY MEDICAL CENTRE,NKT
UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,NRF
URGENT CARE 24,NPQ
URGENT CARE CENTRE- HURLEY GROUP HQ,AH6
UTTLESFORD HEALTH LIMITED (HQ),AHM
VACCINATION UK LIMITED,AJC
VALE HEALTHCARE LTD,NPY
VANGUARD GROUP LTD,NHE
VANSCAN LTD HQ,NHG
VAST SERVICES (1920),DC0
VEINCENTRE LIMITED,NX7
VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,AQK
VH COMMUNITY SERVICES LTD,NEA
VH DOCTORS LTD,NCY
VIADUCT CARE CIC,DDW
VIRGIN CARE LTD,NQT
VIRGIN CARE PROVIDER SERVICES LTD,NDR
VIRGIN CARE SERVICES LTD,NDA
VISION CHECKS LTD,ACR
VOCARE,NLO
VOYAGE CARE,ADD
WANDSWORTH REFERRAL SERVICE,NRD
WARD ANNE KATHLEEN DR (DERMATOLOGY),NIE
WARDOUR GROUP LIMITED,NDU
WARRINGTON PRIMARY CARE HOMES CIC,ARP
WASHINGBOROUGH FAMILY PRACTICE GROUP,ALY
WATCHTOWER HOUSE MEDICAL/INFIRMARY SERVICES,NHC
WATERCRESS MEDICAL,AYF
WATFORD & HERTS COUNSELLING LLP,NGW
WAVENEY PRACTICE BASED COMMISSIONING,NVW
WELBECK HEALTHCARE LIMITED,AXC
WELDRICKS PHARMACY (CASH SERVICE),NDM
WELLBEING NORFOLK AND WAVENEY,AXE
WELLINGTON SUPPORT LTD,NGN
WELL-ONE CLINIC,NXK
WELLSPRING HEALTHY LIVING CENTRE,AKA
WEST ESSEX MIND (HQ),AMH
WEST LANCASHIRE HEALTHCARE PARTNERSHIP COMMUNITY CIC,NM1
WEST MIDLANDS DIAGNOSTIC SERVICES LTD,NDT
WEST NORFOLK HEALTH,NEB
WEST NORFOLK OSTEOPATHS LTD,AJH
WEST WAKEFIELD HEALTH & WELLBEING LIMITED,AHT
WEST WAKEFIELD HEALTH AND WELLBEING LIMITED,APK
WESTCLIFFE HEALTH INNOVATIONS LTD,AGA
WESTCLIFFE MEDICAL SERVICES LTD,AG7
WESTMINISTER DRUG PROJECT,ARG
WESTMINSTER MIND,AD7
WF FEDERATED GP NETWORK LIMITED,AJY
WHITMORE REANS HEALTH SERVICES LTD,NP6
WHITSTABLE MEDICAL PRACTICE,ACH
WHIZZ-KIDZ,NKP
WIGAN BOROUGH FEDERATED HEALTHCARE LTD,AEQ
WILCARE HEALTH LTD,NWG
WILTSHIRE HEALTH & CARE,AXG
WINGATE MINOR SURGERY SERVICE,NBT
WISBECH OSTEOPATHIC CLINIC,NAU
WMP SERVICES,NX9
WOLVERHAMPTON DOCTORS ON CALL LIMITED,AXK
WOODBURY MEDICAL LTD,AQ3
WOODFIELD PHYSIOTHERAPY LTD,NO3
WOODLANDS VASECTOMY CLINIC,AYN
WOODSIDE HOSPITAL,NR1
WORKINGTON HEALTH LIMITED,AJN
WSDM LTD,ADH
XENZONE,DFC
YARBOROUGH CLEE CARE LIMITED,NDK
YORDALES HEALTH LTD,ANR
YORHEALTH LTD,AYA
YORK CATARACT COMPANY LTD,NTL
YORKSHIRE FATIGUE CLINIC LTD,AH0
YORKSHIRE HEALTH SOLUTIONS LTD,NKO
YORKSHIRE HEALTHCARE PARTNERS LTD,ACX
YOUR HEALTH AND WELLBEING MENDIP,DCQ
YOUR HEALTHCARE,NNV
ZENITH COSMETIC CLINICS LTD,DF5
